*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=outregdisp_v2-groundfloor
*Date=20:17:08
*CreatedBy=Fritzing 0.9.1b.11.19.8d2d5970658f0bed09c661c9ea9a515b5f40f44c
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
386;;;11.5824;-77.6623;0;Bottom;Copper Fill240
387;220;1206 [SMD];72.3348;-63.3607;0;Top;R29
388;;;51.8414;-92.026;0;Bottom;Copper Fill61
389;;DIP (Dual Inline) [THT];59.7507;-91.9263;90;Bottom;74LS163
390;;;9.5377;-57.0502;0;Bottom;Copper Fill245
391;220;1206 [SMD];22.2395;-18.4016;0;Top;R74
392;;;8.2042;-89.7527;0;Bottom;Copper Fill22
393;;THT;85.2359;-57.3801;-90;Bottom;display-6
394;;;35.6997;-73.9412;0;Bottom;Copper Fill36
395;220;1206 [SMD];72.3348;-76.0607;0;Top;R32
396;220;1206 [SMD];72.3348;-65.9007;0;Top;R27
397;;;58.3692;-89.994;0;Bottom;Copper Fill60
398;;;8.4836;-2.4783;0;Bottom;Copper Fill32
399;220;1206 [SMD];22.2395;-46.3416;0;Top;R79
400;;;9.5377;-16.4356;0;Bottom;Copper Fill253
401;220;1206 [SMD];22.2395;-15.8616;0;Top;R70
402;220;1206 [SMD];72.4466;-17.4858;0;Top;R57
403;;;83.9201;-64.4009;0;Bottom;Via348
404;;;11.1553;-57.2851;0;Bottom;Via417
405;;;55.557;-54.4574;0;Bottom;Via364
406;;;27.7079;-84.212;0;Bottom;Via308
407;220;1206 [SMD];72.4466;-32.7258;0;Top;R47
408;;;64.0294;-56.6966;0;Bottom;Via461
409;;;56.4054;-73.9344;0;Bottom;Via324
410;;;65.6169;-15.7392;0;Bottom;Via404
411;;;11.5824;-37.0223;0;Bottom;Copper Fill28
412;220;1206 [SMD];22.2395;-79.3616;0;Top;R22
413;;;26.7478;-86.8498;0;Bottom;Via315
414;;;27.9146;-15.3434;0;Bottom;Copper Fill207
415;;;10.6172;-37.0223;0;Bottom;Copper Fill27
416;;;32.491;-43.6086;0;Bottom;Via450
417;;;26.7478;-66.5298;0;Bottom;Via425
418;;;98.3194;-47.1717;0;Bottom;Via373
419;220;1206 [SMD];22.2395;-59.0416;0;Top;R62
420;;;27.7079;-64.1037;0;Bottom;Via418
421;;;61.4541;-46.8542;0;Bottom;Via358
422;220;1206 [SMD];72.4466;-9.8658;0;Top;R54
423;;;84.0319;-23.6061;0;Bottom;Via380
424;;;27.6932;-55.1796;0;Bottom;Via455
425;;;61.3423;-67.329;0;Bottom;Via327
426;;;62.611;-89.2574;0;Bottom;Copper Fill64
427;;;26.4414;-22.938;0;Bottom;Copper Fill198
428;;;82.804;-28.0434;0;Bottom;Copper Fill181
429;;;66.929;-49.4302;0;Bottom;Copper Fill15
430;220;1206 [SMD];22.2395;-10.7816;0;Top;R72
431;;;60.706;-60.9618;0;Bottom;Copper Fill76
432;;;77.3644;-40.1867;0;Bottom;Via375
433;;;5.6388;-84.9902;0;Bottom;Copper Fill69
434;;;11.1125;-56.847;0;Bottom;Copper Fill243
435;;;35.433;-49.9636;0;Bottom;Copper Fill232
436;;;64.1171;-74.4732;0;Bottom;Via341
437;;;63.1952;-28.4879;0;Bottom;Copper Fill38
438;;;62.6237;-68.785;0;Bottom;Copper Fill276
